timestamp: Fri Feb 15 22:02:34 EST 2019
rank 8, test 1, use_barrier 0 time in seconds: 0.266976, (use_barrier: 0, ranks: ./a.out)
rank 8, test 1, use_barrier 1 time in seconds: 0.199581, (use_barrier: 1, ranks: ./a.out)
rank 8, test 2, use_barrier 0 time in seconds: 0.215536, (use_barrier: 0, ranks: ./a.out)
rank 8, test 2, use_barrier 1 time in seconds: 0.233998, (use_barrier: 1, ranks: ./a.out)
rank 8, test 3, use_barrier 0 time in seconds: 0.209561, (use_barrier: 0, ranks: ./a.out)
rank 8, test 3, use_barrier 1 time in seconds: 0.225411, (use_barrier: 1, ranks: ./a.out)
rank 8, test 4, use_barrier 0 time in seconds: 0.220200, (use_barrier: 0, ranks: ./a.out)
rank 8, test 4, use_barrier 1 time in seconds: 0.255784, (use_barrier: 1, ranks: ./a.out)
rank 8, test 5, use_barrier 0 time in seconds: 0.239680, (use_barrier: 0, ranks: ./a.out)
rank 8, test 5, use_barrier 1 time in seconds: 0.241452, (use_barrier: 1, ranks: ./a.out)
rank 8, test 6, use_barrier 0 time in seconds: 0.223541, (use_barrier: 0, ranks: ./a.out)
rank 8, test 6, use_barrier 1 time in seconds: 0.217612, (use_barrier: 1, ranks: ./a.out)
rank 8, test 7, use_barrier 0 time in seconds: 0.210800, (use_barrier: 0, ranks: ./a.out)
rank 8, test 7, use_barrier 1 time in seconds: 0.229601, (use_barrier: 1, ranks: ./a.out)
rank 16, test 1, use_barrier 0 time in seconds: 0.239040, (use_barrier: 0, ranks: ./a.out)
rank 16, test 1, use_barrier 1 time in seconds: 0.183586, (use_barrier: 1, ranks: ./a.out)
rank 16, test 2, use_barrier 0 time in seconds: 0.228550, (use_barrier: 0, ranks: ./a.out)
rank 16, test 2, use_barrier 1 time in seconds: 0.224698, (use_barrier: 1, ranks: ./a.out)
rank 16, test 3, use_barrier 0 time in seconds: 0.189647, (use_barrier: 0, ranks: ./a.out)
rank 16, test 3, use_barrier 1 time in seconds: 0.178803, (use_barrier: 1, ranks: ./a.out)
rank 16, test 4, use_barrier 0 time in seconds: 0.252504, (use_barrier: 0, ranks: ./a.out)
rank 16, test 4, use_barrier 1 time in seconds: 0.222575, (use_barrier: 1, ranks: ./a.out)
rank 16, test 5, use_barrier 0 time in seconds: 0.149729, (use_barrier: 0, ranks: ./a.out)
rank 16, test 5, use_barrier 1 time in seconds: 0.204545, (use_barrier: 1, ranks: ./a.out)
rank 16, test 6, use_barrier 0 time in seconds: 0.213681, (use_barrier: 0, ranks: ./a.out)
rank 16, test 6, use_barrier 1 time in seconds: 0.252801, (use_barrier: 1, ranks: ./a.out)
rank 16, test 7, use_barrier 0 time in seconds: 0.169690, (use_barrier: 0, ranks: ./a.out)
rank 16, test 7, use_barrier 1 time in seconds: 0.221082, (use_barrier: 1, ranks: ./a.out)
rank 32, test 1, use_barrier 0 time in seconds: 0.205159, (use_barrier: 0, ranks: ./a.out)
rank 32, test 1, use_barrier 1 time in seconds: 0.234613, (use_barrier: 1, ranks: ./a.out)
